ID,Codigo,Nombre,Zona,Mes,Ano,Elevacion,Latitud,Longitud,Tipo,Clase,Informacion,Comentarios,CE,Temperatura,pH,OD_mg/L,2H,18O,Fecha
G-06,Tm 1 ,Humedal Patiño ,TORCA,Jun,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,Salida humedal patiño- torca ,163,16.6,8.2,,-59.58,-8.11,6/30/2023
G-07,Tm 2 ,Totalizador de lluvia ,TORCA,Jun,2023,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,125,36,22,7.11,,-72.27,-9.86,7/31/2023
G-08,Tm 3 ,Q Aguas Calientes ,TORCA,Jun,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,161,16.6,8.2,,-64.93,-9.97,7/31/2023
G-09,Tm 4 ,Canal Torca - Vía Guaymaral ,TORCA,Jun,2023,2251.83,4.8095,-74.04,Canal ,Superficial,Canal Torca ,,57,16,7.6,,-66,-10.13,7/31/2023
G-10,Tm 5 ,Sector 6-Guaymaral ,TORCA,Jun,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,430,19,7.3,,-61.51,-8.22,7/31/2023
G-11,Tm 6 ,Sector 5-Guaymaral ,TORCA,Jun,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,450,20,7.3,,-63.73,-8.47,7/31/2023
G-12,P1,Salida Humedal Patiño ,TORCA,Jul,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,351,20.7,6.7,,-58.16,-7.79,7/31/2023
G-13,P2,Totalizador Lluvia ,TORCA,Jul,2023,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,volumen 80 ml ,25,21.5,7.5,,-65.82,-9.43,7/31/2023
G-14,P3,Quebrada Aguas Calientes ,TORCA,Jul,2023,2555.94,4.7832,-74.0394,Quebrada ,Superficial,Quebrada Aguas Calientes ,,161,16.6,8.2,,-67.72,-10.07,8/30/2023
G-15,P4 ,Quebrada El Perro ,TORCA,Jul,2023,2554.83,4.7832,-74.0395,Quebrada ,Superficial,Quebrada El Perro ,,504,18.4,7.2,,-50.73,-6.11,8/30/2023
G-16,P5,Canal Torca-Salida Bima ,TORCA,Jul,2023,2251.83,4.8095,-74.04,Canal ,Superficial,Canal Torca ,,67,17.5,7.8,,-67.94,-10.17,8/30/2023
G-17,P6,Sector 6-Guaymaral ,TORCA,Jul,2023,,4.8024,-74.0393,Humedal ,Superficial,Sector 6 Guaymaral ,,470,20.1,7.4,,-57.63,-7.69,8/30/2023
G-18,P7,Sector 5-Guaymaral ,TORCA,Jul,2023,2548,4.8058,-74.0432,Humedal ,Superficial,Sector 5 Fundación Guaymaral ,,459,21.4,7.4,,-58.79,-7.73,8/30/2023
G-19,M1,Salida Humedal Patiño ,TORCA,Sep,2023,2549,4.7869,-74.0392,Humedal ,Superficial,Salida Humedal Patiño ,,144,20,6.8,,-57.65,-8.07,8/30/2023
G-20,M2,Totalizador ,TORCA,Sep,2023,2548.53,4.7868,-74.0392,Lluvia,Lluvia,Totalizador Torca ,volumen 1050 ml ,,,,,-45.72,-7.63,8/30/2023
